Postcode,Population
BA14 9,"8,744"
BA15 1,"9,149"
BA15 2,"3,990"
BA16 0,"10,396"
BA16 9,"2,645"
BA2  0,"4,579"
BA2  1,"12,851"
BA2  2,"10,477"
BA2  3,"9,376"
BA2  4,"6,277"
BA2  5,"7,220"
BA2  6,"6,122"
BA2  7,"7,173"
BA2  8,"7,655"
BA2  9,"2,022"
BA20 1,"2,173"
BA20 2,"8,692"
BA21 3,"15,100"
BA21 4,"8,900"
BA21 5,"9,619"
BA22 7,"3,881"
BA22 8,"8,965"
BA22 9,"5,320"
BA3  2,"9,801"
BA3  3,"10,411"
BA3  4,"7,556"
BA3  5,"6,942"
BA4  4,"5,159"
BA4  5,"8,299"
BA4  6,"4,317"
BA5  1,"6,065"
BA5  2,"7,253"
BA5  3,"4,216"
BA6  8,"6,437"
BA6  9,"6,433"
BA7  7,"3,514"
BA8  0,"4,153"
BA9  8,"1,484"
BA9  9,"5,758"
BB1  1,"12,317"
BB1  2,"9,179"
BB1  3,"2,784"
BB1  4,"6,625"
BB1  5,"7,773"
BB1  6,"3,458"
BB1  7,"4,369"
BB1  8,"9,813"
BB1  9,"10,227"
BB10 1,"8,813"
BB10 2,"10,448"
BB10 3,"7,988"
BB10 4,"10,183"
BB11 2,"5,203"
BB11 3,"4,093"
BB11 4,"6,065"
BB11 5,"6,860"
BB12 0,"8,089"
BB12 6,"8,530"
BB12 7,"7,169"
BB12 8,"7,891"
BB12 9,"2,934"
BB18 5,"7,710"
BB18 6,"9,469"
BB2  1,"5,685"
BB2  2,"4,447"
BB2  3,"9,919"
BB2  4,"15,182"
BB2  5,"7,070"
BB2  6,"10,432"
BB2  7,"7,189"
BB3  0,"9,303"
BB3  1,"6,392"
BB3  2,"9,402"
BB3  3,"9,406"
BB4  4,"7,473"
BB4  5,"6,006"
BB4  6,"7,795"
BB4  7,"5,874"
BB4  8,"8,676"
BB4  9,"5,577"
BB5  0,"9,702"
BB5  1,"4,946"
BB5  2,"7,686"
BB5  3,"7,911"
BB5  4,"8,846"
BB5  5,"11,513"
BB5  6,"10,498"
BB6  7,"10,800"
BB6  8,"3,859"
BB7  1,"7,591"
BB7  2,"7,177"
BB7  3,"3,067"
BB7  4,"5,080"
BB7  9,"8,784"
BB8  0,"6,062"
BB8  7,"4,630"
BB8  8,"5,092"
BB8  9,"7,257"
BB9  0,"12,189"
BB9  5,"6,357"
BB9  6,"4,788"
BB9  7,"6,726"
BB9  8,"8,116"
BB9  9,"6,422"
BD1  1,384
BD1  2,370
BD1  3,"1,575"
BD1  4,751
BD1  5,756
BD10 0,"8,834"
BD10 8,"10,627"
BD10 9,"6,421"
BD11 1,"5,528"
BD11 2,"5,827"
BD12 0,"5,308"
BD12 7,"1,901"
BD12 8,"4,908"
BD12 9,"4,568"
BD13 1,"3,967"
BD13 2,"7,657"
BD13 3,"6,934"
BD13 4,"3,489"
BD13 5,"2,932"
BD14 6,"8,871"
BD15 0,"4,248"
BD15 7,"8,060"
BD15 9,"3,008"
BD16 1,"9,433"
BD16 2,"3,422"
BD16 3,"5,776"
BD16 4,"7,172"
BD17 5,"8,187"
BD17 6,"6,188"
BD17 7,"3,526"
BD18 1,"7,192"
BD18 2,"6,828"
BD18 3,"5,448"
BD18 4,"7,790"
BD19 3,"5,989"
BD19 4,"9,436"
BD19 5,"2,646"
BD19 6,"3,948"
BD2  1,"8,149"
BD2  2,"4,754"
BD2  3,"7,927"
BD2  4,"7,736"
BD20 0,"6,137"
BD20 5,"7,284"
BD20 6,"7,399"
BD20 7,"4,908"
BD20 8,"5,509"
BD20 9,"4,078"
BD21 1,"6,041"
BD21 2,"7,158"
BD21 3,"3,931"
BD21 4,"7,373"
BD21 5,"2,630"
BD22 0,"4,465"
BD22 6,"7,683"
BD22 7,"9,056"
BD22 8,"4,270"
BD22 9,"4,375"
BD23 1,"5,900"
BD23 2,"8,348"
BD23 3,"4,100"
BD23 4,"3,569"
BD23 5,"3,485"
BD23 6,"3,927"
BD24 0,"2,003"
BD24 9,"3,128"
BD3  0,"9,775"
BD3  7,"7,518"
BD3  8,"9,087"
BD3  9,"7,641"
BD4  0,"6,698"
BD4  6,"7,253"
BD4  7,"4,767"
BD4  8,"6,867"
BD4  9,"5,633"
BD5  0,"7,093"
BD5  7,"6,312"
BD5  8,"7,748"
BD5  9,"10,488"
BD6  1,"9,491"
BD6  2,"7,616"
BD6  3,"12,965"
BD7  1,"6,140"
BD7  2,"11,830"
BD7  3,"8,650"
BD7  4,"8,725"
BD8  0,"7,933"
BD8  7,"6,679"
BD8  8,"6,659"
BD8  9,"10,231"
BD9  4,"9,552"
BD9  5,"10,933"
BD9  6,"8,824"
BH1  1,"2,648"
BH1  2,"1,096"
BH1  3,"6,470"
BH1  4,"9,090"
BH10 4,"4,123"
BH10 5,"7,037"
BH10 6,"5,043"
BH10 7,"3,859"
BH11 8,"9,887"
BH11 9,"10,023"
BH12 1,"6,253"
BH12 2,"7,955"
BH12 3,"8,011"
BH12 4,"8,709"
BH12 5,"4,343"
BH13 6,"4,570"
BH13 7,"3,751"
BH14 0,"7,000"
BH14 8,"9,262"
BH14 9,"7,170"
BH15 1,"6,176"
BH15 2,"6,073"
BH15 3,"11,277"
BH15 4,"9,526"
BH16 5,"10,947"
BH16 6,"4,888"
BH17 7,"8,904"
BH17 8,"7,525"
BH17 9,"6,554"
BH18 8,"4,652"
BH18 9,"6,476"
BH19 1,"4,077"
BH19 2,"5,524"
BH19 3,"1,916"
BH2  5,"4,479"
BH2  6,"3,866"
BH20 4,"5,496"
BH20 5,"3,940"
BH20 6,"5,953"
BH20 7,"4,565"
BH21 1,"10,432"
BH21 2,"9,008"
BH21 3,"10,677"
BH21 4,"2,220"
BH21 5,"2,407"
BH21 6,"1,492"
BH21 7,"3,813"
BH21 8,522
BH22 0,"7,561"
BH22 8,"10,856"
