Postcode,Population
CM11 1,"7,237"
CM11 2,"11,764"
CM12 0,"12,334"
CM12 9,"7,488"
CM13 1,"8,383"
CM13 2,"10,236"
CM13 3,"5,875"
CM14 4,"10,536"
CM14 5,"9,210"
CM15 0,"8,835"
CM15 8,"5,759"
CM15 9,"8,812"
CM16 4,"3,688"
CM16 5,"3,512"
CM16 6,"8,034"
CM16 7,"6,862"
CM17 0,"6,859"
CM17 9,"14,437"
CM18 6,"12,859"
CM18 7,"11,566"
CM19 4,"10,841"
CM19 5,"7,970"
CM2  0,"5,299"
CM2  6,"14,995"
CM2  7,"8,423"
CM2  8,"14,882"
CM2  9,"14,653"
CM20 1,"6,371"
CM20 2,"4,013"
CM20 3,"11,016"
CM21 0,"4,308"
CM21 9,"6,530"
CM22 6,"6,840"
CM22 7,"6,392"
CM23 1,"1,552"
CM23 2,"7,264"
CM23 3,"9,337"
CM23 4,"13,349"
CM23 5,"9,113"
CM24 8,"6,669"
CM3  1,"5,614"
CM3  2,"5,430"
CM3  3,"4,913"
CM3  4,"9,242"
CM3  5,"14,894"
CM3  6,"9,396"
CM3  7,"1,559"
CM3  8,"3,060"
CM4  0,"4,575"
CM4  9,"5,606"
CM5  0,"5,402"
CM5  9,"5,179"
CM6  1,"11,691"
CM6  2,"6,243"
CM6  3,"7,250"
CM7  1,"9,301"
CM7  2,"5,528"
CM7  3,"11,019"
CM7  4,"4,231"
CM7  5,"9,412"
CM7  9,"9,252"
CM77 6,"2,646"
CM77 7,"7,451"
CM77 8,"5,298"
CM8  1,"13,990"
CM8  2,"11,885"
CM8  3,"6,932"
CM9  4,"8,896"
CM9  5,"4,265"
CM9  6,"11,368"
CM9  8,"8,996"
CO1  1,"4,670"
CO1  2,"10,318"
CO10 0,"13,376"
CO10 1,"8,320"
CO10 2,"4,410"
CO10 5,"2,263"
CO10 7,"6,438"
CO10 8,"5,356"
CO10 9,"6,166"
CO11 1,"5,643"
CO11 2,"7,307"
CO12 3,"6,974"
CO12 4,"11,264"
CO12 5,"3,977"
CO13 0,"8,108"
CO13 9,"4,002"
CO14 8,"6,735"
CO15 1,"7,233"
CO15 2,"6,493"
CO15 3,"8,623"
CO15 4,"8,117"
CO15 5,"6,741"
CO15 6,"5,847"
CO16 0,"3,036"
CO16 7,"4,919"
CO16 8,"10,919"
CO16 9,"5,322"
CO2  0,"4,480"
CO2  7,"9,256"
CO2  8,"12,673"
CO2  9,"8,705"
CO3  0,"7,681"
CO3  3,"8,002"
CO3  4,"6,662"
CO3  8,828
CO3  9,"4,944"
CO4  0,"7,230"
CO4  3,"17,987"
CO4  5,"14,008"
CO4  9,"8,777"
CO5  0,"9,875"
CO5  7,"4,506"
CO5  8,"7,449"
CO5  9,"6,369"
CO6  1,"9,693"
CO6  2,"6,285"
CO6  3,"6,185"
CO6  4,"5,879"
CO6  5,851
CO7  0,"8,076"
CO7  6,"5,962"
CO7  7,"5,487"
CO7  8,"5,791"
CO7  9,"7,637"
CO8  5,"2,303"
CO9  1,"9,398"
CO9  2,"6,044"
CO9  3,"5,616"
CO9  4,"4,202"
CR0  0,"18,285"
CR0  1,"8,974"
CR0  2,"19,388"
CR0  3,"18,754"
CR0  4,"16,782"
CR0  5,"10,713"
CR0  6,"21,899"
CR0  7,"16,011"
CR0  8,"12,934"
CR0  9,"10,493"
CR2  0,"10,999"
CR2  6,"10,864"
CR2  7,"8,235"
CR2  8,"11,285"
CR2  9,"7,084"
CR3  0,"4,283"
CR3  5,"12,701"
CR3  6,"9,414"
CR3  7,"2,141"
CR4  1,"17,002"
CR4  2,"13,403"
CR4  3,"18,775"
CR4  4,"9,622"
CR5  1,"10,639"
CR5  2,"9,162"
CR5  3,"9,061"
CR6  9,"9,843"
CR7  6,"9,048"
CR7  7,"17,686"
CR7  8,"17,957"
CR8  1,"4,855"
CR8  2,"8,289"
CR8  3,"5,004"
CR8  4,"6,090"
CR8  5,"8,307"
CT1  1,"14,531"
CT1  2,"4,296"
CT1  3,"11,928"
CT10 1,"7,056"
CT10 2,"10,522"
CT10 3,"7,325"
CT11 0,"7,465"
CT11 7,"9,169"
CT11 8,"5,761"
CT11 9,"6,811"
CT12 4,"3,882"
CT12 5,"2,742"
CT12 6,"11,202"
CT13 0,"5,957"
CT13 9,"2,944"
CT14 0,"2,960"
CT14 6,"5,355"
CT14 7,"9,173"
CT14 8,"2,694"
CT14 9,"14,874"
CT15 4,"3,706"
CT15 5,"3,289"
CT15 6,"2,499"
CT15 7,"3,744"
CT16 1,"3,447"
CT16 2,"10,592"
CT16 3,"5,584"
CT17 0,"12,301"
CT17 9,"9,785"
CT18 7,"10,823"
CT18 8,"3,086"
CT19 4,"9,199"
CT19 5,"10,233"
CT19 6,"9,435"
CT2  0,"5,883"
CT2  7,"13,510"
CT2  8,"7,567"
CT2  9,"3,758"
CT20 1,"7,046"
CT20 2,"7,545"
CT20 3,"7,879"
CT21 4,"4,377"
CT21 5,"6,446"
CT21 6,"6,324"
CT3  1,"5,858"
CT3  2,"3,365"
CT3  3,"4,438"
CT3  4,"3,623"
CT4  5,"4,171"
CT4  6,"5,127"
CT4  7,"5,455"
CT4  8,"1,880"
CT5  1,"7,536"
CT5  2,"8,245"
CT5  3,"6,778"
CT5  4,"10,509"
CT6  5,"7,481"
CT6  6,"9,818"
CT6  7,"12,628"
CT6  8,"8,636"
CT7  0,"4,045"
CT7  9,"7,414"
CT8  8,"7,338"
CT9  1,"6,759"
CT9  2,"10,779"
CT9  3,"11,077"
CT9  4,"3,862"
CT9  5,"10,977"
CV1  1,437
CV1  2,"6,764"
CV1  3,"5,001"
CV1  4,"8,165"
CV1  5,"10,814"
CV10 0,"12,587"
CV10 7,"11,078"
CV10 8,"11,974"
CV10 9,"14,244"
CV11 4,"12,061"
CV11 5,"11,114"
CV11 6,"16,253"
CV12 0,"9,099"
CV12 8,"10,682"
CV12 9,"11,825"
CV13 0,"6,402"
CV13 6,"4,312"
CV2  1,"12,001"
CV2  2,"12,524"
CV2  3,"13,010"
CV2  4,"13,683"
CV2  5,"11,988"
CV21 1,"9,843"
CV21 2,"7,990"
CV21 3,"10,227"
CV21 4,"7,530"
CV22 5,"9,369"
CV22 6,"10,470"
CV22 7,"15,494"
CV23 0,"9,612"
CV23 8,"5,613"
CV23 9,"6,611"
CV3  1,"8,880"
CV3  2,"16,357"
CV3  3,"7,874"
CV3  4,"4,249"
CV3  5,"13,479"
CV3  6,"12,484"
CV31 1,"12,171"
CV31 2,"12,287"
CV31 3,"7,072"
CV32 4,"3,149"
CV32 5,"8,230"
CV32 6,"7,490"
CV32 7,"13,827"
CV33 9,"6,103"
CV34 4,"4,831"
CV34 5,"14,218"
CV34 6,"12,296"
CV35 0,"5,786"
CV35 7,"5,310"
CV35 8,"5,676"
CV35 9,"7,837"
CV36 4,"6,496"
CV36 5,"2,790"
CV37 0,"6,733"
CV37 6,"6,679"
CV37 7,"8,658"
CV37 8,"6,969"
CV37 9,"11,959"
CV4  7,"8,878"
CV4  8,"8,015"
CV4  9,"16,477"
CV47 0,"2,213"
CV47 1,"4,354"
CV47 2,"5,145"
CV47 7,751
CV47 8,"2,491"
CV47 9,"2,013"
CV5  6,"11,915"
CV5  7,"11,931"
CV5  8,"12,346"
CV5  9,"9,776"
CV6  1,"13,817"
CV6  2,"12,131"
CV6  3,"10,834"
CV6  4,"13,098"
CV6  5,"13,469"
CV6  6,"10,696"
CV6  7,"12,477"
CV7  7,"10,748"
CV7  8,"8,542"
CV7  9,"8,788"
CV8  1,"11,021"
CV8  2,"13,239"
CV8  3,"6,771"
CV9  1,"5,796"
CV9  2,"8,988"
CV9  3,"6,420"
CW1  2,"1,508"
CW1  3,"17,346"
CW1  4,"11,655"
CW1  5,"10,723"
CW1  6,"1,147"
CW10 0,"7,597"
CW10 9,"6,764"
CW11 1,"7,236"
CW11 2,"1,889"
CW11 3,"7,181"
CW11 4,"6,309"
CW12 1,"3,872"
CW12 2,"4,934"
CW12 3,"10,059"
CW12 4,"10,360"
CW2  5,"8,061"
CW2  6,"10,648"
CW2  7,"9,284"
CW2  8,"13,127"
CW3  0,"2,755"
CW3  9,"6,324"
CW4  7,"5,823"
CW4  8,"3,555"
CW5  5,"7,751"
CW5  6,"7,412"
CW5  7,"9,654"
CW5  8,"4,464"
CW6  0,"7,005"
CW6  9,"5,155"
CW7  1,"9,340"
CW7  2,"10,816"
CW7  3,"9,459"
CW7  4,"1,839"
CW8  1,"8,686"
CW8  2,"9,087"
CW8  3,"7,139"
CW8  4,"10,378"
CW9  5,"3,371"
CW9  6,"5,661"
CW9  7,"10,771"
CW9  8,"13,344"
DA1  1,"9,614"
DA1  2,"11,763"
DA1  3,"12,006"
DA1  4,"8,370"
DA1  5,"10,934"
DA10 0,"6,746"
DA11 0,"8,909"
DA11 7,"9,009"
DA11 8,"10,962"
DA11 9,"9,179"
DA12 1,"6,711"
DA12 2,"8,904"
DA12 3,"2,356"
DA12 4,"14,437"
DA12 5,"14,984"
DA13 0,"9,007"
DA13 9,"5,442"
DA14 4,"9,774"
DA14 5,"4,193"
DA14 6,"7,216"
DA15 7,"5,408"
DA15 8,"14,900"
DA15 9,"9,119"
DA16 1,"12,574"
DA16 2,"14,284"
DA16 3,"9,054"
DA17 5,"10,470"
DA17 6,"6,634"
DA18 4,"4,939"
DA2  6,"9,647"
DA2  7,"11,704"
DA2  8,"1,643"
DA3  7,"7,825"
DA3  8,"8,923"
DA4  0,"3,133"
DA4  9,"5,929"
DA5  1,"6,994"
DA5  2,"5,262"
DA5  3,"8,568"
DA6  7,"4,244"
DA6  8,"5,602"
DA7  4,"12,266"
DA7  5,"12,231"
DA7  6,"11,043"
DA8  1,"13,375"
DA8  2,"10,921"
DA8  3,"10,263"
DA9  9,"13,089"
DE1  1,"5,044"
DE1  2,"2,422"
DE1  3,"6,341"
DE11 0,"15,296"
DE11 7,"9,745"
DE11 8,"6,022"
DE11 9,"12,746"
DE12 6,"7,566"
DE12 7,"9,101"
DE12 8,"3,795"
DE13 0,"18,922"
DE13 7,"4,128"
DE13 8,"7,962"
DE13 9,"9,584"
DE14 1,"2,468"
DE14 2,"12,501"
DE14 3,"13,875"
DE15 0,"9,676"
DE15 9,"14,516"
DE21 2,"10,435"
DE21 4,"13,248"
DE21 5,"3,623"
DE21 6,"17,333"
DE21 7,"12,377"
DE22 1,"6,464"
DE22 2,"13,622"
DE22 3,"17,663"
DE22 4,"7,862"
DE22 5,933
DE23 1,"8,516"
DE23 2,"3,042"
DE23 3,"6,045"
DE23 4,"2,686"
DE23 6,"18,975"
DE23 8,"20,636"
DE24 0,"15,565"
DE24 1,"1,010"
DE24 3,"6,249"
DE24 5,"1,287"
DE24 8,"16,740"
DE24 9,"13,672"
DE3  0,"7,926"
DE3  9,"9,082"
DE4  2,"9,049"
DE4  3,"12,089"
DE4  4,"6,817"
DE4  5,"5,211"
DE45 1,"8,676"
DE5  3,"13,279"
DE5  8,"3,907"
DE5  9,"4,847"
DE55 1,"6,751"
DE55 2,"7,161"
DE55 3,"3,781"
DE55 4,"8,558"
DE55 5,"8,176"
DE55 6,"7,312"
DE55 7,"9,485"
DE56 0,"12,408"
DE56 1,"13,418"
DE56 2,"9,172"
DE56 4,"5,376"
DE6  1,"11,115"
DE6  2,"5,392"
DE6  3,"3,518"
DE6  4,"1,060"
DE6  5,"4,508"
DE65 5,"11,968"
DE65 6,"11,488"
DE7  4,"12,656"
DE7  5,"9,980"
DE7  6,"10,477"
DE7  8,"13,685"
DE7  9,"3,118"
DE72 2,"4,120"
DE72 3,"16,105"
DE73 5,"4,815"
DE73 6,"6,566"
DE73 7,"1,799"
DE73 8,"5,872"
DE74 2,"11,491"
DE75 7,"18,713"
DH1  1,"9,337"
DH1  2,"8,622"
DH1  3,"9,701"
DH1  4,"7,661"
DH1  5,"14,544"
DH2  1,"10,749"
DH2  2,"10,239"
DH2  3,"9,439"
DH3  1,"7,331"
DH3  2,"5,578"
DH3  3,"6,677"
DH3  4,"6,318"
DH4  4,"8,240"
DH4  5,"6,848"
DH4  6,"8,944"
DH4  7,"9,439"
DH5  0,"7,166"
DH5  8,"5,870"
DH5  9,"6,498"
DH6  1,"6,792"
DH6  2,"9,222"
DH6  3,"5,601"
DH6  4,"7,027"
DH6  5,"4,750"
DH7  0,"5,646"
DH7  6,"8,411"
DH7  7,"7,936"
DH7  8,"9,980"
DH7  9,"9,402"
DH8  0,"6,805"
DH8  5,"6,301"
DH8  6,"6,940"
DH8  7,"9,034"
DH8  8,"6,616"
DH8  9,"2,855"
DH9  0,"4,757"
DH9  6,"10,256"
DH9  7,"7,979"
DH9  8,"6,866"
DH9  9,"6,834"
DL1  1,"5,013"
DL1  2,"11,974"
DL1  3,"8,602"
DL1  4,"14,290"
DL1  5,"6,492"
DL10 4,"5,249"
DL10 5,"3,414"
DL10 6,"2,858"
DL10 7,"6,903"
DL11 6,"2,030"
DL11 7,"3,278"
DL12 0,"2,494"
DL12 8,"6,802"
DL12 9,"3,111"
DL13 1,"1,481"
DL13 2,"3,100"
DL13 3,"3,119"
DL13 4,"3,154"
DL13 5,"3,304"
DL14 0,"6,311"
DL14 6,"11,580"
DL14 7,"4,682"
DL14 8,"6,803"
DL14 9,"7,696"
DL15 0,"8,730"
DL15 8,"5,297"
DL15 9,"8,470"
DL16 6,"11,219"
DL16 7,"8,597"
DL17 0,"4,954"
DL17 8,"8,942"
DL17 9,"3,776"
DL2  1,"5,868"
DL2  2,"7,198"
DL2  3,"3,914"
DL3  0,"15,145"
DL3  6,"8,624"
DL3  7,"4,094"
DL3  8,"7,742"
DL3  9,"9,107"
DL4  1,"4,942"
DL4  2,"5,034"
DL5  4,"9,515"
DL5  5,"6,185"
DL5  6,"3,997"
DL5  7,"9,643"
DL6  1,"8,869"
DL6  2,"3,981"
DL6  3,"2,665"
DL7  0,"3,135"
DL7  8,"7,726"
DL7  9,"5,357"
DL8  1,"4,562"
DL8  2,"4,514"
DL8  3,"2,928"
DL8  4,"3,071"
DL8  5,"3,575"
DL9  3,"7,423"
DL9  4,"8,436"
DN1  1,307
DN1  2,"6,392"
DN1  3,"2,036"
DN10 4,"5,286"
DN10 5,"1,631"
DN10 6,"5,169"
DN11 0,"13,537"
DN11 8,"8,294"
DN11 9,"6,521"
DN12 1,"7,856"
DN12 2,"5,928"
DN12 3,"5,803"
DN12 4,"4,532"
DN14 0,"7,301"
DN14 5,"7,850"
DN14 6,"12,960"
DN14 7,"7,172"
DN14 8,"4,824"
DN14 9,"6,135"
DN15 0,"1,067"
DN15 6,"5,106"
DN15 7,"8,581"
DN15 8,"12,187"
DN15 9,"9,662"
DN16 1,"9,044"
DN16 2,"8,659"
DN16 3,"13,964"
DN17 1,"12,004"
DN17 2,"11,511"
DN17 3,"7,315"
DN17 4,"6,358"
DN18 5,"8,684"
DN18 6,"3,033"
DN19 7,"6,282"
DN2  4,"8,183"
DN2  5,"8,087"
DN2  6,"8,281"
DN20 0,"6,875"
DN20 8,"6,812"
DN20 9,"5,500"
DN21 1,"11,713"
DN21 2,"6,795"
DN21 3,"7,346"
DN21 4,"5,138"
DN21 5,"6,229"
DN22 0,"4,803"
DN22 6,"7,447"
DN22 7,"14,903"
DN22 8,"5,826"
DN22 9,"3,107"
DN3  1,"8,327"
DN3  2,"11,824"
DN3  3,"9,918"
DN31 1,"1,928"
DN31 2,"7,481"
DN31 3,210
DN32 0,"6,619"
DN32 7,"6,663"
DN32 8,"8,466"
DN32 9,"8,509"
DN33 1,"7,111"
DN33 2,"5,126"
DN33 3,"7,301"
DN34 4,"8,407"
DN34 5,"10,594"
DN35 0,"8,606"
DN35 7,"11,839"
DN35 8,"8,185"
DN35 9,"5,931"
DN36 4,"10,848"
DN36 5,"8,255"
DN37 0,"7,975"
DN37 7,"3,542"
DN37 8,400
DN37 9,"9,828"
DN38 6,"3,023"
DN39 6,"2,846"
DN4  0,"10,620"
DN4  5,"5,407"
DN4  6,"11,640"
DN4  7,"7,766"
DN4  8,"7,638"
DN4  9,"10,344"
DN40 1,"5,650"
DN40 2,"3,992"
DN40 3,"2,657"
DN41 7,"2,940"
DN41 8,"3,326"
DN5  0,"9,827"
DN5  7,"8,833"
DN5  8,"11,474"
DN5  9,"10,730"
DN6  0,"6,283"
DN6  7,"10,737"
DN6  8,"8,688"
DN6  9,"5,440"
DN7  4,"8,354"
DN7  5,"7,284"
DN7  6,"8,972"
DN8  4,"9,796"
DN8  5,"7,499"
DN9  1,"8,575"
DN9  2,"5,039"
DN9  3,"6,404"
DT1  1,"5,930"
DT1  2,"10,864"
DT1  3,"2,266"
DT10 1,"6,104"
DT10 2,"5,737"
DT11 0,"7,206"
DT11 7,"10,325"
DT11 8,"7,905"
DT11 9,"4,720"
DT2  0,"3,582"
DT2  7,"5,738"
DT2  8,"7,849"
DT2  9,"7,657"
DT3  4,"5,626"
DT3  5,"8,977"
DT3  6,"8,535"
DT4  0,"12,649"
DT4  7,"7,697"
DT4  8,"4,597"
DT4  9,"12,350"
DT5  1,"6,580"
DT5  2,"6,264"
DT6  3,"6,302"
DT6  4,"5,789"
DT6  5,"5,928"
DT6  6,"3,540"
DT7  3,"5,696"
DT8  3,"6,000"
DT9  3,"3,568"
DT9  4,"5,651"
DT9  5,"4,950"
DT9  6,"6,621"
DY1  1,748
DY1  2,"14,344"
DY1  3,"11,246"
DY1  4,"5,793"
DY10 1,"7,077"
DY10 2,"11,110"
DY10 3,"10,247"
DY10 4,"7,380"
DY11 5,"9,960"
DY11 6,"12,434"
DY11 7,"7,683"
DY12 1,"4,960"
DY12 2,"5,976"
DY12 3,"1,369"
DY13 0,"6,755"
DY13 8,"8,832"
DY13 9,"6,622"
DY14 0,"1,775"
DY14 8,"3,843"
DY14 9,"2,911"
DY2  0,"11,024"
DY2  7,"7,648"
DY2  8,"7,069"
DY2  9,"8,720"
DY3  1,"9,578"
DY3  2,"11,240"
DY3  3,"11,109"
DY3  4,"1,803"
DY4  0,"13,881"
DY4  7,"9,825"
DY4  8,"11,217"
DY4  9,"7,923"
DY5  1,"6,453"
DY5  2,"13,659"
DY5  3,"13,053"
DY5  4,"8,733"
DY6  0,"4,060"
DY6  7,"4,124"
DY6  8,"10,735"
DY6  9,"8,570"
DY7  5,"2,208"
DY7  6,"6,092"
DY8  1,"5,551"
DY8  2,"6,038"
DY8  3,"12,558"
DY8  4,"13,351"
DY8  5,"13,239"
DY9  0,"10,867"
DY9  7,"4,985"
DY9  8,"5,929"
DY9  9,"8,291"
E1   0,"11,066"
E1   1,"6,305"
E1   2,"7,872"
E1   3,"7,366"
E1   4,"15,388"
E1   5,"11,202"
E1   6,"4,333"
E1   7,"2,483"
E1   8,"4,374"
E10  5,"14,857"
E10  6,"16,361"
E10  7,"11,902"
E11  1,"11,673"
E11  2,"11,440"
E11  3,"16,434"
E11  4,"15,142"
E12  5,"16,644"
E12  6,"25,962"
E13  0,"19,094"
E13  8,"13,717"
E13  9,"14,358"
E14  0,"10,795"
E14  2,"1,760"
E14  3,"17,059"
E14  4,468
E14  5,649
E14  6,"12,181"
E14  7,"12,828"
E14  8,"12,380"
E14  9,"14,518"
E15  1,"13,928"
E15  2,"10,963"
E15  3,"14,417"
E15  4,"12,342"
E16  1,"11,995"
E16  2,"9,795"
E16  3,"14,011"
E16  4,"9,570"
E17  3,"12,624"
E17  4,"16,479"
E17  5,"17,002"
E17  6,"17,015"
E17  7,"11,177"
E17  8,"15,726"
E17  9,"13,106"
E18  1,"7,920"
E18  2,"11,944"
E1W  1,"2,506"
E1W  2,"4,204"
E1W  3,"5,718"
E2   0,"11,253"
E2   6,"9,423"
E2   7,"9,106"
E2   8,"7,539"
E2   9,"8,490"
E3   2,"13,970"
E3   3,"10,681"
E3   4,"15,169"
E3   5,"12,551"
E4   6,"16,960"
E4   7,"11,697"
E4   8,"14,418"
E4   9,"17,282"
E5   0,"17,276"
E5   8,"16,080"
E5   9,"15,136"
E6   1,"16,731"
E6   2,"18,102"
E6   3,"21,007"
E6   5,"11,066"
E6   6,"11,884"
E7   0,"14,800"
E7   8,"21,075"
E7   9,"18,258"
E8   1,"8,368"
E8   2,"10,061"
E8   3,"10,444"
E8   4,"10,387"
E9   5,"12,702"
E9   6,"11,561"
E9   7,"13,505"
EC1A 4,143
EC1A 7,393
EC1A 9,358
EC1M 3,428
EC1M 5,"1,105"
EC1M 6,753
EC1M 7,187
EC1N 7,"2,011"
EC1N 8,639
EC1R 0,"1,225"
EC1R 1,"1,239"
EC1R 3,298
EC1R 4,"1,422"
EC1R 5,701
EC1V 0,"2,106"
EC1V 1,223
EC1V 2,121
EC1V 3,"3,194"
EC1V 4,"1,342"
EC1V 7,"2,333"
EC1V 8,"1,711"
EC1V 9,"1,735"
EC1Y 0,"1,216"
EC1Y 2,204
EC1Y 4,325
EC1Y 8,"2,022"
EC2A 3,483
EC2A 4,746
EC2Y 8,"3,249"
EC3R 8,227
EC4A 1,151
EC4V 3,319
EC4V 5,276
EC4Y 7,320
EN1  1,"12,238"
EN1  2,"7,094"
EN1  3,"12,261"
EN1  4,"13,404"
EN10 6,"10,904"
EN10 7,"6,132"
EN11 0,"6,488"
EN11 8,"6,633"
EN11 9,"8,330"
EN2  0,"9,548"
EN2  6,"4,241"
EN2  7,"7,240"
EN2  8,"7,071"
EN2  9,"1,609"
EN3  4,"11,749"
EN3  5,"15,971"
EN3  6,"19,395"
EN3  7,"9,958"
EN4  0,"5,253"
EN4  8,"12,276"
EN4  9,"8,049"
EN5  1,"6,783"
EN5  2,"13,749"
EN5  3,"3,505"
EN5  4,"5,634"
EN5  5,"8,400"
EN6  1,"6,386"
EN6  2,"6,924"
EN6  3,"5,390"
EN6  4,"5,181"
EN6  5,"5,129"
EN7  5,"7,447"
EN7  6,"14,603"
EN8  0,"9,579"
EN8  7,"6,936"
EN8  8,"11,174"
EN8  9,"8,137"
EN9  1,"7,754"
EN9  2,"4,799"
EN9  3,"11,080"
EX1  1,"1,726"
EX1  2,"9,195"
EX1  3,"10,600"
EX10 0,"4,638"
EX10 8,"3,420"
EX10 9,"9,149"
EX11 1,"7,795"
EX12 2,"7,096"
EX12 3,"1,824"
EX12 4,496
EX13 5,"6,997"
EX13 7,"3,789"
EX13 8,543
EX14 1,"5,958"
EX14 2,"5,525"
EX14 3,"3,799"
EX14 4,"2,461"
EX14 9,"2,944"
EX15 1,"8,766"
EX15 2,"5,881"
EX15 3,"6,666"
EX16 4,"6,179"
EX16 5,"4,920"
EX16 6,"9,691"
EX16 7,"4,384"
EX16 8,"3,909"
EX16 9,"3,357"
EX17 1,"2,185"
EX17 2,"2,176"
EX17 3,"4,362"
EX17 4,"3,273"
EX17 5,"3,320"
EX17 6,"4,223"
EX18 7,"3,117"
EX19 8,"3,525"
EX2  4,"6,190"
EX2  5,"8,864"
EX2  6,"5,456"
EX2  7,"5,196"
EX2  8,"7,809"
EX2  9,"7,183"
EX20 1,"7,898"
EX20 2,"4,542"
EX20 3,"4,457"
EX20 4,"3,069"
EX21 5,"4,620"
EX22 6,"5,939"
EX22 7,"4,806"
EX23 0,"3,460"
EX23 8,"7,401"
EX23 9,"4,843"
EX24 6,"3,789"
EX3  0,"4,940"
EX31 1,"3,560"
EX31 2,"6,325"
EX31 3,"8,170"
EX31 4,"7,420"
EX32 0,"5,336"
EX32 7,"6,937"
EX32 8,"6,266"
EX32 9,"5,239"
EX33 1,"5,362"
EX33 2,"4,862"
EX34 0,"2,687"
EX34 7,"1,637"
EX34 8,"6,457"
EX34 9,"6,525"
EX35 6,"1,647"
EX36 3,"3,920"
EX36 4,"4,557"
EX37 9,"3,362"
EX38 7,"4,488"
EX38 8,"3,644"
EX39 1,"9,389"
EX39 2,"3,760"
EX39 3,"9,009"
EX39 4,"6,870"
EX39 5,"6,224"
EX39 6,"1,911"
EX4  0,297
EX4  1,"9,206"
EX4  2,"7,726"
EX4  3,"2,148"
EX4  4,"8,928"
EX4  5,"2,990"
EX4  6,"8,172"
EX4  7,"5,260"
EX4  8,"6,261"
EX4  9,"3,723"
EX5  1,"3,521"
EX5  2,"4,779"
EX5  3,"2,353"
EX5  4,"5,055"
EX5  5,"2,860"
EX6  6,"2,793"
EX6  7,"4,007"
EX6  8,"6,873"
EX7  0,"5,664"
EX7  9,"6,768"
EX8  1,"7,109"
EX8  2,"7,664"
EX8  3,"5,540"
EX8  4,"9,532"
EX8  5,"7,604"
EX9  6,"5,185"
EX9  7,"1,578"
FY1  1,294
FY1  2,"7,870"
FY1  3,"4,412"
FY1  4,"6,528"
FY1  5,"6,129"
FY1  6,"8,401"
FY2  0,"14,413"
FY2  9,"10,146"
FY3  0,"1,932"
FY3  7,"10,503"
FY3  8,"9,532"
FY3  9,"9,988"
FY4  1,"8,507"
FY4  2,"7,805"
FY4  3,"10,358"
FY4  4,"11,958"
FY4  5,"5,036"
FY5  1,"7,947"
FY5  2,"12,093"
FY5  3,"11,154"
FY5  4,"8,381"
FY5  5,"5,241"
FY6  0,"7,177"
FY6  7,"12,715"
FY6  8,"5,367"
FY6  9,"2,744"
FY7  6,"6,830"
FY7  7,"8,967"
FY7  8,"10,142"
FY8  1,"9,332"
FY8  2,"8,790"
FY8  3,"9,816"
FY8  4,"10,136"
FY8  5,"5,979"
GL1  1,"1,920"
GL1  2,"3,794"
GL1  3,"5,846"
GL1  4,"11,963"
GL1  5,"10,629"
GL10 2,"6,858"
GL10 3,"7,095"
GL11 4,"6,187"
GL11 5,"8,033"
GL11 6,"3,919"
GL12 7,"6,328"
GL12 8,"8,717"
GL13 9,"5,863"
GL14 1,"3,804"
GL14 2,"8,039"
GL14 3,"3,879"
GL15 4,"4,988"
GL15 5,"8,776"
GL15 6,"6,979"
GL16 7,"7,116"
GL16 8,"6,265"
GL17 0,"4,537"
GL17 9,"6,643"
GL18 1,"5,999"
GL18 2,"1,494"
GL19 3,"6,644"
GL19 4,"3,159"
GL2  0,"12,031"
GL2  2,"4,975"
GL2  3,504
GL2  4,"15,690"
GL2  5,"3,698"
GL2  7,"4,760"
GL2  8,"3,662"
GL2  9,"6,499"
GL20 5,"7,139"
GL20 6,"2,835"
GL20 7,"7,412"
GL20 8,"10,847"
GL3  1,"6,039"
GL3  2,"7,419"
GL3  3,"8,442"
GL3  4,"8,592"
GL4  0,"12,327"
GL4  3,"3,248"
GL4  4,"10,405"
GL4  5,"8,878"
GL4  6,"10,413"
GL4  8,"2,537"
GL5  1,"7,953"
GL5  2,"4,534"
GL5  3,"4,357"
GL5  4,"10,516"
GL5  5,"3,680"
GL50 1,"1,007"
GL50 2,"8,317"
GL50 3,"4,247"
GL50 4,"8,925"
GL51 0,"11,984"
GL51 3,"10,060"
GL51 4,"2,413"
GL51 6,"7,961"
GL51 7,"6,501"
GL51 8,"6,893"
GL51 9,"5,708"
GL52 2,"4,640"
GL52 3,"5,567"
GL52 5,"8,768"
GL52 6,"9,425"
GL52 7,"1,538"
GL52 8,"9,509"
GL52 9,"3,818"
GL53 0,"4,129"
GL53 7,"6,185"
GL53 8,"5,344"
GL53 9,"4,097"
GL54 1,"2,982"
GL54 2,"5,513"
GL54 3,"3,687"
GL54 4,"2,905"
GL54 5,"7,059"
GL55 6,"5,422"
GL56 0,"5,159"
GL56 9,"3,244"
GL6  0,"6,366"
GL6  6,"3,986"
GL6  7,"3,775"
GL6  8,"6,627"
GL6  9,"3,706"
GL7  1,"13,973"
GL7  2,"4,922"
GL7  3,"4,675"
GL7  4,"4,359"
GL7  5,"7,284"
GL7  6,"4,833"
GL7  7,"2,234"
GL8  8,"8,541"
GL9  1,"2,667"
GU1  1,"10,647"
GU1  2,"8,898"
GU1  3,"4,646"
GU1  4,"4,978"
GU10 1,"4,581"
GU10 2,"2,887"
GU10 3,"4,437"
GU10 4,"6,553"
GU10 5,"3,780"
